Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Link
EVOTF,Evotec SE,1.53B,9.22,-6.40%,Drug Manufacturers - Specialty & Generic,100,-,https://stockanalysis.com/quote/otc/EVOTF/
ONTTF,Oxford Nanopore Technologies plc,1.53B,1.64,-2.67%,Biotechnology,"1,000",-,https://stockanalysis.com/quote/otc/ONTTF/
PHMMF,"Pharma Mar, S.A.",1.38B,81.07,-,Biotechnology,-,"1,982.40",https://stockanalysis.com/quote/otc/PHMMF/
DNPUF,"Sumitomo Pharma Co., Ltd.",1.36B,4.00,-,Drug Manufacturers - Specialty & Generic,"1,400",-,https://stockanalysis.com/quote/otc/DNPUF/
CASBF,CanSino Biologics Inc.,1.33B,3.55,-6.08%,Drug Manufacturers - Specialty & Generic,100,-,https://stockanalysis.com/quote/otc/CASBF/
GENSF,Genus plc,1.18B,21.00,-,Biotechnology,-,118.63,https://stockanalysis.com/quote/otc/GENSF/
GNMLF,"Genomma Lab Internacional, S.A.B. de C.V.",1.18B,1.27,-,Drug Manufacturers - Specialty & Generic,"11,811",14.40,https://stockanalysis.com/quote/otc/GNMLF/
CURLF,"Curaleaf Holdings, Inc.",1.07B,1.45,-2.03%,Drug Manufacturers - Specialty & Generic,"1,055,000",-,https://stockanalysis.com/quote/otc/CURLF/
KKPCF,"Kaken Pharmaceutical Co., Ltd.",1.03B,29.27,-,Drug Manufacturers - Specialty & Generic,-,8.05,https://stockanalysis.com/quote/otc/KKPCF/
TCNNF,Trulieve Cannabis Corp.,937.78M,4.91,-3.17%,Drug Manufacturers - Specialty & Generic,"317,600",-,https://stockanalysis.com/quote/otc/TCNNF/
NURPF,Neuren Pharmaceuticals Limited,924.74M,7.76,-,Biotechnology,-,11.82,https://stockanalysis.com/quote/otc/NURPF/
CSWYY,China Shineway Pharmaceutical Group Limited,789.71M,18.53,-,Drug Manufacturers - Specialty & Generic,161,5.20,https://stockanalysis.com/quote/otc/CSWYY/
CLRPF,Clarity Pharmaceuticals Ltd,741.12M,2.55,-8.78%,Biotechnology,"2,400",-,https://stockanalysis.com/quote/otc/CLRPF/
SWDCF,Swedencare AB (publ),632.31M,4.30,-,Drug Manufacturers - Specialty & Generic,-,103.27,https://stockanalysis.com/quote/otc/SWDCF/
PHGUF,Pharming Group N.V.,632.12M,0.95,-3.36%,Biotechnology,"1,000",-,https://stockanalysis.com/quote/otc/PHGUF/
NIKA,"Nika Pharmaceuticals, Inc.",600.93M,0.59,-,Drug Manufacturers - Specialty & Generic,200,-,https://stockanalysis.com/quote/otc/NIKA/
SOLTF,"Nxera Pharma Co., Ltd.",561.61M,6.52,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/SOLTF/
BPMUF,Basilea Pharmaceutica AG,556.17M,52.83,-,Biotechnology,135,-,https://stockanalysis.com/quote/otc/BPMUF/
BXPHF,Botanix Pharmaceuticals Limited,547.16M,0.31,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/BXPHF/
ELTP,"Elite Pharmaceuticals, Inc.",534.03M,0.50,4.17%,Drug Manufacturers - Specialty & Generic,"2,154,100",-,https://stockanalysis.com/quote/otc/ELTP/
OXBDF,Oxford Biomedica plc,529.84M,5.27,-0.85%,Biotechnology,"1,000",-,https://stockanalysis.com/quote/otc/OXBDF/
